dist,lon,lat,depth_m
6.402833096,-40.32211978,24.19054028,-4778
6.419771808,-40.30543881,24.18759658,-4736
6.43671052,-40.28875785,24.18465288,-4694
6.453649232,-40.27207688,24.18170918,-4663
6.470587944,-40.25539592,24.17876548,-4638
6.487526655,-40.23871495,24.17582178,-4633
6.504465367,-40.22203399,24.17287808,-4602
6.521404079,-40.20535302,24.16993438,-4613
6.538342791,-40.18867206,24.16699068,-4627
6.555281503,-40.17199109,24.16404698,-4642
6.572220215,-40.15531013,24.16110328,-4655
6.589158927,-40.13862916,24.15815958,-4581
6.606097639,-40.1219482,24.15521588,-4572
6.623036351,-40.10526723,24.15227218,-4566
6.639975062,-40.08858627,24.14932848,-4568
6.656913774,-40.0719053,24.14638478,-4578
6.673852486,-40.05522434,24.14344109,-4636
6.690791198,-40.03854337,24.14049739,-4736
6.70772991,-40.02186241,24.13755369,-4884
6.724668622,-40.00518144,24.13460999,-5016
6.741607334,-39.98850048,24.13166629,-5108
6.758546046,-39.97181951,24.12872259,-5124
6.775484758,-39.95513855,24.12577889,-5044
6.79242347,-39.93845758,24.12283519,-4762
6.809362181,-39.92177662,24.11989149,-4659
6.826300893,-39.90509565,24.11694779,-4674
6.843239605,-39.88841469,24.11400409,-4750
6.860178317,-39.87173372,24.11106039,-4804
6.877117029,-39.85505276,24.10811669,-4782
6.894055741,-39.83837179,24.10517299,-4931
6.910994453,-39.82169083,24.10222929,-5091
6.927933165,-39.80500986,24.09928559,-5214
6.944871877,-39.7883289,24.09634189,-5299
6.961810588,-39.77164793,24.09339819,-5329
6.9787493,-39.75496697,24.09045449,-5075
6.995688012,-39.738286,24.08751079,-4883
7.012626724,-39.72160504,24.08456709,-4664
7.029565436,-39.70492407,24.08162339,-4563
7.046504148,-39.68824311,24.07867969,-4589
7.06344286,-39.67156214,24.07573599,-4914
7.080381572,-39.65488118,24.07279229,-5094
7.097320284,-39.63820021,24.06984859,-5268
7.114258995,-39.62151925,24.06690489,-5346
7.131197707,-39.60483828,24.06396119,-5332
7.148136419,-39.58815732,24.06101749,-5265
7.165075131,-39.57147635,24.05807379,-5170
7.182013843,-39.55479539,24.05513009,-5138
7.198952555,-39.53811442,24.05218639,-5156
7.215891267,-39.52143346,24.04924269,-5211
